Code,Year,population
CZ,2009,10425783
CZ,2010,10462088
CZ,2011,10486731
CZ,2012,10505445
CZ,2013,10516125
CZ,2014,10512419
CZ,2015,10538275
CZ,2016,10553843
CZ,2017,10578820
CZ,2018,10610055
CZ,2019,10649800
CZ,2020,10693939
CZ,2021,10494836
CZ,2022,10516707
CZ,2023,10827529
DE_TOT,1977,78209026
DE_TOT,1978,78110602
DE_TOT,1979,78073038
DE_TOT,1980,78179662
DE_TOT,1981,78397490
DE_TOT,1982,78418324
DE_TOT,1983,78248407
DE_TOT,1984,78008156
DE_TOT,1985,77709213
DE_TOT,1986,77660533
DE_TOT,1987,77780338
DE_TOT,1988,77899502
DE_TOT,1989,78389735
DE_TOT,1990,79112831
DE_TOT,1991,79753227
DE_TOT,1992,80274564
DE_TOT,1993,80974632
DE_TOT,1994,81338093
DE_TOT,1995,81538603
DE_TOT,1996,81817499
DE_TOT,1997,82012162
DE_TOT,1998,82057379
DE_TOT,1999,82037011
DE_TOT,2000,82163475
DE_TOT,2001,82259540
DE_TOT,2002,82440309
DE_TOT,2003,82536680
DE_TOT,2004,82531671
DE_TOT,2005,82500849
DE_TOT,2006,82437995
DE_TOT,2007,82314906
DE_TOT,2008,82217837
DE_TOT,2009,82002356
DE_TOT,2010,81802257
DE_TOT,2011,80222065
DE_TOT,2012,80327900
DE_TOT,2013,80523746
DE_TOT,2014,80767463
DE_TOT,2015,81197537
DE_TOT,2016,82175684
DE_TOT,2017,82521653
DE_TOT,2018,82792351
DE_TOT,2019,83019213
DE_TOT,2020,83166711
DE_TOT,2021,83155031
DE_TOT,2022,83237124
DE_TOT,2023,84358845
DK,1977,5079879
DK,1978,5096959
DK,1979,5111537
DK,1980,5122065
DK,1981,5123989
DK,1982,5119155
DK,1983,5116464
DK,1984,5112130
DK,1985,5111108
DK,1986,5116273
DK,1987,5124794
DK,1988,5129254
DK,1989,5129778
DK,1990,5135409
DK,1991,5146469
DK,1992,5162126
DK,1993,5180614
DK,1994,5196642
DK,1995,5215718
DK,1996,5251027
DK,1997,5275121
DK,1998,5294860
DK,1999,5313577
DK,2000,5330020
DK,2001,5349212
